[2024-03-04 12:23:01.644]	   "tmux-sessionx" download success
[2024-03-04 12:23:01.654]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-03-04 12:23:01.665]	 Updating all plugins!
[2024-03-04 12:23:01.665]	 
[2024-03-04 12:23:02.360]	   "tmux-sessionx" update success
[2024-03-04 12:23:02.361]	     | Already up to date.
[2024-03-04 12:23:02.379]	   "tmux-sensible" update success
[2024-03-04 12:23:02.380]	     | Already up to date.
[2024-03-04 12:23:02.390]	   "tpm" update success
[2024-03-04 12:23:02.391]	     | Already up to date.
[2024-03-04 12:23:02.403]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-03-04 12:23:02.434]	 Done.

[2024-03-04 12:23:04.806]	 List of discovered tpm plugins: tmux-plugins/tpm tmux-plugins/tmux-sensible omerxx/tmux-sessionx
[2024-03-04 12:23:04.823]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/install_plugins
[2024-03-04 12:23:04.855]	 Already installed "tpm"
[2024-03-04 12:23:04.855]	 Already installed "tmux-sensible"
[2024-03-04 12:23:04.855]	 Already installed "tmux-sessionx"
[2024-03-04 12:23:04.873]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-03-04 12:23:04.890]	 Updating all plugins!
[2024-03-04 12:23:04.890]	 
[2024-03-04 12:23:05.578]	   "tmux-sessionx" update success
[2024-03-04 12:23:05.580]	     | Already up to date.
[2024-03-04 12:23:05.580]	   "tmux-sensible" update success
[2024-03-04 12:23:05.581]	     | Already up to date.
[2024-03-04 12:23:05.585]	   "tpm" update success
[2024-03-04 12:23:05.587]	     | Already up to date.
[2024-03-04 12:23:05.599]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-03-04 12:23:05.629]	 Done.

[2024-03-04 12:25:03.046]	 List of discovered tpm plugins: tmux-plugins/tpm tmux-plugins/tmux-sensible omerxx/tmux-sessionx
[2024-03-04 12:25:03.063]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/install_plugins
[2024-03-04 12:25:03.084]	 Already installed "tpm"
[2024-03-04 12:25:03.084]	 Already installed "tmux-sensible"
[2024-03-04 12:25:03.084]	 Already installed "tmux-sessionx"
[2024-03-04 12:25:03.096]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-03-04 12:25:03.281]	 List of discovered tpm plugins: tmux-plugins/tpm tmux-plugins/tmux-sensible omerxx/tmux-sessionx
[2024-03-04 12:25:03.293]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/install_plugins
[2024-03-04 12:25:03.314]	 Already installed "tpm"
[2024-03-04 12:25:03.314]	 Already installed "tmux-sessionx"
[2024-03-04 12:25:03.314]	 Already installed "tmux-sensible"
[2024-03-04 12:25:03.326]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-03-04 12:25:03.107]	 Updating all plugins!
[2024-03-04 12:25:03.107]	 
[2024-03-04 12:25:03.806]	   "tmux-sessionx" update success
[2024-03-04 12:25:03.807]	     | Already up to date.
[2024-03-04 12:25:03.811]	   "tmux-sensible" update success
[2024-03-04 12:25:03.812]	     | Already up to date.
[2024-03-04 12:25:03.814]	   "tpm" update success
[2024-03-04 12:25:03.816]	     | Already up to date.
[2024-03-04 12:25:03.828]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-03-04 12:25:03.860]	 Done.

[2024-03-04 12:25:03.337]	 Updating all plugins!
[2024-03-04 12:25:03.337]	 
[2024-03-04 12:25:04.051]	   "tmux-sessionx" update success
[2024-03-04 12:25:04.055]	     | Already up to date.
[2024-03-04 12:25:04.072]	   "tmux-sensible" update success
[2024-03-04 12:25:04.075]	     | Already up to date.
[2024-03-04 12:25:04.079]	   "tpm" update success
[2024-03-04 12:25:04.083]	     | Already up to date.
[2024-03-04 12:25:04.109]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-03-04 12:25:04.131]	 Removing "tmux-sensible"
[2024-03-04 12:25:04.132]	   "tmux-sensible" clean success
[2024-03-04 12:25:04.133]	 Removing "tmux-sessionx"
[2024-03-04 12:25:04.134]	   "tmux-sessionx" clean success
[2024-03-04 12:25:04.147]	 Done.

[2024-03-04 12:25:27.527]	 List of discovered tpm plugins: tmux-plugins/tpm tmux-plugins/tmux-sensible omerxx/tmux-sessionx
[2024-03-04 12:25:27.541]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/install_plugins
[2024-03-04 12:25:27.693]	 List of discovered tpm plugins: tmux-plugins/tpm tmux-plugins/tmux-sensible omerxx/tmux-sessionx
[2024-03-04 12:25:27.705]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/install_plugins
[2024-03-04 12:25:27.725]	 Already installed "tpm"
[2024-03-04 12:25:27.726]	 Already installed "tmux-sensible"
[2024-03-04 12:25:27.726]	 Already installed "tmux-sessionx"
[2024-03-04 12:25:27.737]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-03-04 12:25:27.561]	 Installing "tmux-sensible"
[2024-03-04 12:25:27.561]	 Installing "tmux-sessionx"
[2024-03-04 12:25:27.562]	 Already installed "tpm"
[2024-03-04 12:25:28.486]	   "tmux-sensible" download success
[2024-03-04 12:25:28.576]	   "tmux-sessionx" download success
[2024-03-04 12:25:28.594]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-03-04 12:25:27.749]	 Updating all plugins!
[2024-03-04 12:25:27.749]	 
[2024-03-04 12:25:28.487]	   "tpm" update success
[2024-03-04 12:25:28.488]	     | Already up to date.
[2024-03-04 12:25:28.752]	   "tmux-sensible" update fail
[2024-03-04 12:25:28.754]	     | From https://github.com/tmux-plugins/tmux-sensible
[2024-03-04 12:25:28.754]	     |  * branch            HEAD       -> FETCH_HEAD
[2024-03-04 12:25:28.754]	     | error: The following untracked working tree files would be overwritten by merge:
[2024-03-04 12:25:28.754]	     | 	.gitattributes
[2024-03-04 12:25:28.754]	     | 	CHANGELOG.md
[2024-03-04 12:25:28.754]	     | 	LICENSE.md
[2024-03-04 12:25:28.754]	     | 	README.md
[2024-03-04 12:25:28.754]	     | 	sensible.tmux
[2024-03-04 12:25:28.754]	     | Please move or remove them before you merge.
[2024-03-04 12:25:28.754]	     | Aborting
[2024-03-04 12:25:28.824]	   "tmux-sessionx" update fail
